close,date,high,low,marketcap,open,volume
5.60,"May 18, 2018",5.73,5.27,"745,919,926",5.50,"11,206,400"
5.48,"May 17, 2018",6.17,5.47,"730,709,633",6.02,"8,299,030"
6.01,"May 16, 2018",6.16,5.77,"801,301,912",6.10,"5,302,870"
6.14,"May 15, 2018",6.60,6.10,"818,109,851",6.39,"7,133,530"
6.41,"May 14, 2018",6.66,6.09,"853,640,507",6.66,"9,767,950"
6.65,"May 13, 2018",6.76,6.11,"886,237,036",6.34,"7,477,230"
6.33,"May 12, 2018",6.67,5.81,"843,217,826",6.07,"10,475,800"
6.07,"May 11, 2018",7.15,5.97,"808,165,531",7.02,"16,131,500"
7.02,"May 10, 2018",7.89,7.02,"934,847,345",7.71,"25,186,300"
7.73,"May 09, 2018",8.02,7.35,"1,030,377,041",7.94,"21,886,100"
7.93,"May 08, 2018",8.62,7.79,"1,057,129,300",8.27,"21,368,200"
8.25,"May 07, 2018",8.79,7.94,"1,099,691,468",8.76,"17,166,600"
8.75,"May 06, 2018",9.08,8.15,"1,165,715,996",9.02,"26,768,000"
9.04,"May 05, 2018",9.39,8.89,"1,204,789,724",9.26,"37,063,600"
9.33,"May 04, 2018",10.44,9.11,"1,243,800,826",9.91,"82,069,600"
9.78,"May 03, 2018",9.93,8.28,"1,303,297,519",8.53,"104,688,000"
8.55,"May 02, 2018",8.62,7.96,"1,138,997,049",8.13,"22,923,900"
8.15,"May 01, 2018",8.41,7.70,"1,085,433,901",8.41,"30,038,300"
8.41,"Apr 30, 2018",9.01,8.05,"1,120,684,736",8.28,"69,693,000"
8.25,"Apr 29, 2018",8.25,7.48,"1,098,997,245",7.50,"35,489,000"
7.51,"Apr 28, 2018",7.61,6.96,"1,001,017,113",6.97,"18,123,900"
6.99,"Apr 27, 2018",7.54,6.97,"930,816,584",7.51,"17,818,100"
7.53,"Apr 26, 2018",7.57,6.58,"1,003,343,628",6.83,"15,521,700"
6.78,"Apr 25, 2018",8.12,6.56,"903,935,074",8.12,"18,538,300"
